Name,Title,Location,Dept,Phone,Link
"Bosley , Gia  G. ",Judge,Torrance and Annex,H,(310) 787-3724,../../Courthouse/info/SBA
"Bourne, Beverly ",Judge,Glendale,002,(818) 265-6402,../../Courthouse/info/GLN
"Bowick, Stephanie M.",Judge,Stanley Mosk,019,(213) 633-0519,../../Courthouse/info/LA
"Boxer, Doreen B.",Commissioner,Stanley Mosk,059,(213) 633-5859,../../Courthouse/info/LA
"Brandolino, Joseph A.",Judge,Van Nuys - West,F,(818) 989-6833,../../Courthouse/info/LAV
"Brazil, Deborah S.",Judge,Clara Shortridge Foltz Criminal Justice Center,034,(213) 628-7734,../../Courthouse/info/CCB
"Brazile, Kevin C.",Judge,Stanley Mosk,PJ,(213) 633-0400,../../Courthouse/info/LA
"Broadbelt, Robert B.",Judge,Stanley Mosk,053,(213) 633-0653,../../Courthouse/info/LA
"Brodie, Bruce E.",Judge,Inglewood,003,(310) 419-1303,../../Courthouse/info/ING
"Brougham, Cathryn F.",Judge,Alhambra,005,(626) 293-2105,../../Courthouse/info/ALH
"Brougham, David C.",Judge,Pomona,M,(909) 802-1106,../../Courthouse/info/EA
"Brown, Irma J.",Judge,Inglewood Juvenile,240,(310) 412-8340,../../Courthouse/info/IGJ
"Brown, Leslie E.",Judge,Airport,080,(310) 725-3015,../../Courthouse/info/LAX
"Brown, Kevin L.",Judge,Los Padrinos Juvenile,250,(562) 658-0750,../../Courthouse/info/LPJ
"Bryant-Deason, Susan ",Judge,Stanley Mosk,052,(213) 633-0652,../../Courthouse/info/LA
"Buckley, Daniel J.",Judge,Spring Street,001,(213) 310-7001,../../Courthouse/info/SS
"Burdge, Richard J.",Judge,Stanley Mosk,092,(213) 633-1092,../../Courthouse/info/LA
"Burghardt, Joseph J.",Judge,Metropolitan,066,(213) 745-1866,../../Courthouse/info/MET
"Byrd, Christine ",Judge,Central Civil West,311,(213) 351-7511,../../Courthouse/info/CCW
"Byrdsong, Kristen ",Commissioner,Edmund D. Edelman Children's Court,422,(323) 307-8022,../../Courthouse/info/CCJ
"Byrdsong, Rupert A.",Judge,Spring Street,015,(213) 310-7015,../../Courthouse/info/SS
"Byrne, Mary Lou ",Commissioner,Pasadena,M,(626) 396-3306,../../Courthouse/info/PAS
"CTS, Test JO ",Judge,Central Arraignment,080,(213) 617-5680,../../Courthouse/info/CAC
"Camacho, Mike ",Judge,Pomona,P,(909) 802-1107,../../Courthouse/info/EA
"Campos, Benjamin R.",Commissioner,Eastlake Juvenile,202,(323) 227-4302,../../Courthouse/info/ELJ
"Carroll, Dennis ",Commissioner,Governor George Deukmejian - Long Beach,S03,(562) 256-1425,../../Courthouse/info/LB
"Carter, Michael D.",Judge,Burbank,G,(818) 260-8414,../../Courthouse/info/BUR
"Carter, Amy N.",Judge,Torrance and Annex,005,(310) 787-3705,../../Courthouse/info/SBA
"Castro, Emma ",Commissioner,Edmund D. Edelman Children's Court,415,(323) 307-8015,../../Courthouse/info/CCJ
"Chalfant, James C.",Judge,Stanley Mosk,085,(213) 830-0785,../../Courthouse/info/LA
"Chang, Wendy ",Judge,Stanley Mosk,094,(213) 830-0794,../../Courthouse/info/LA
"Chavez, Victor E.",Judge,Spring Street,008,(213) 310-7008,../../Courthouse/info/SS
"Chemeleski, John ",Commissioner,Stanley Mosk,008,(213) 830-0830,../../Courthouse/info/LA
"Cheroske, John J.",Judge,Compton,D,(310) 761-4323,../../Courthouse/info/COM
"Cho, Lawrence ",Judge,Santa Monica,K,(310) 255-1876,../../Courthouse/info/SM
"Chowdhury, Ashfaq G.",Judge,Michael D. Antonovich Antelope Valley,A22, ,../../Courthouse/info/ATP
"Christian, H. Don ",Commissioner,Pomona,C,(909) 802-1122,../../Courthouse/info/EA
"Christian, Deborah L.",Judge,Stanley Mosk,097,(213) 633-1097,../../Courthouse/info/LA
"Chrostek, Joan M.",Judge,West Covina,005,(626) 430-2505,../../Courthouse/info/CIT
"Chu, Robert G.",Judge,Michael D. Antonovich Antelope Valley,A02, ,../../Courthouse/info/ATP
"Chung, Lisa Mangay",Judge,Michael D. Antonovich Antelope Valley,A19, ,../../Courthouse/info/ATP
"Chung, Charles A.",Judge,Michael D. Antonovich Antelope Valley,A18, ,../../Courthouse/info/ATP
"Clarke, Edmund Willcox",Judge,Torrance and Annex,G,(310) 787-3714,../../Courthouse/info/SBA
"Clay, Charles Q.",Judge,Whittier ,202,(562) 968-2705,../../Courthouse/info/WHI
"Clover, Suzette ",Judge,Pasadena,F,(626) 396-3323,../../Courthouse/info/PAS
"Cochran, Steve ",Judge,Stanley Mosk,063,(213) 633-1063,../../Courthouse/info/LA
"Coen, Lisa S.",Judge,West Covina,001,(626) 430-2501,../../Courthouse/info/CIT
"Coen, Ronald S.",Judge,Clara Shortridge Foltz Criminal Justice Center,101,(213) 628-7401,../../Courthouse/info/CCB
"Coen, Sean D.",Judge,Compton,H,(310) 761-4324,../../Courthouse/info/COM
"Cohen-Laurie, Jeffrey S.",Judge,Airport,073,(310) 725-3043,../../Courthouse/info/LAX
"Cole, Debra A.",Judge,Governor George Deukmejian - Long Beach,S08,(562) 256-1445,../../Courthouse/info/LB
"Cole, Lisa Hart ",Judge,Santa Monica,Q,(310) 255-1867,../../Courthouse/info/SM
"Cole-Hall, Debra ",Judge,Norwalk,T,(562) 345-3708,../../Courthouse/info/SE
"Connolly, Pat ",Judge,Compton,K,(310) 761-4315,../../Courthouse/info/COM
"Convey, Michael J.",Judge,Van Nuys - East,D,(818) 901-4602,../../Courthouse/info/NW
"Cooper, Andrew E.",Judge,San Fernando,C,(818) 256-1822,../../Courthouse/info/LAS
"Cortez, Annabelle G.",Judge,Pasadena,A,(626) 396-3302,../../Courthouse/info/PAS
"Cotton, Huey P.",Judge,Van Nuys - East,A,(818) 901-4603,../../Courthouse/info/NW
"Court, Michelle Williams ",Judge,Spring Street,001,(213) 310-7001,../../Courthouse/info/SS
"Cowan, David J.",Judge,Stanley Mosk,003,(213) 633-0253,../../Courthouse/info/LA
"Cowell, Michael A.",Judge,Norwalk,N,(562) 345-3716,../../Courthouse/info/SE
"Crabb, Rocky L.",Commissioner,Pomona,S,(909) 802-1127,../../Courthouse/info/EA
"Crowfoot, William A.",Judge,Michael D. Antonovich Antelope Valley,A09,(661) 483-5509,../../Courthouse/info/ATP
"Crowley, Daniel M.",Judge,Metropolitan,067,(213) 745-1867,../../Courthouse/info/MET
"Cunningham, David S.",Judge,Stanley Mosk,037,(213) 633-0157,../../Courthouse/info/LA
"Czuleger, J. Stephen ",Judge,Spring Street,016,(213) 310-7016,../../Courthouse/info/SS
"Dabney, James R.",Judge,Clara Shortridge Foltz Criminal Justice Center,134,(213) 628-7434,../../Courthouse/info/CCB
"Davalos, Maria Andrea",Judge,Downey,006,(562) 803-7024,../../Courthouse/info/DOW
"Davis, Angela J.",Commissioner,Central Civil West,002F,(213) 351-7503,../../Courthouse/info/CCW
"Davis, Pamela A.",Commissioner,Santa Monica,B,(310) 255-1852,../../Courthouse/info/SM
"De Witt , Susan  J.",Judge,Clara Shortridge Foltz Criminal Justice Center,053,(213) 628-7753,../../Courthouse/info/CCB
"Delgado, Rogelio ",Judge,Pomona,F,(909) 802-1123,../../Courthouse/info/EA
"Diaz, Rudolph A.",Judge,Edmund D. Edelman Children's Court,419,(323) 307-8019,../../Courthouse/info/CCJ
"Dillon, Timothy Patrick",Judge,Alhambra,X,(626) 293-2119,../../Courthouse/info/ALH
"Dodson, William D.",Commissioner,Pasadena,R,(626) 396-3317,../../Courthouse/info/PAS
"Dohi, Gregory A.",Judge,Van Nuys - West,E,(818) 989-6823,../../Courthouse/info/LAV
"Dominguez, Juan Carlos ",Judge,Pomona,H,(909) 802-1114,../../Courthouse/info/EA
"Dordi, Firdaus F.",Judge,Van Nuys - East,J,(818) 901-4605,../../Courthouse/info/NW
"Dotson, Kimberly ",Commissioner,Stanley Mosk,006,(213) 633-0606,../../Courthouse/info/LA
"Downing, Marguerite D.",Judge,Edmund D. Edelman Children's Court,407,(323) 307-8007,../../Courthouse/info/CCJ
"Doyle, John P.",Judge,Stanley Mosk,058,(213) 633-0658,../../Courthouse/info/LA
"Draper, Robert S.",Judge,Stanley Mosk,078,(213) 830-0878,../../Courthouse/info/LA
"Duffy-Lewis, Maureen ",Judge,Stanley Mosk,038,(213) 633-0158,../../Courthouse/info/LA
"Dunn, James R.",Judge,Spring Street,STL,(213) 310-7092,../../Courthouse/info/SS
"Duron, Armando ",Commissioner,Compton,M,(310) 761-4336,../../Courthouse/info/COM
"Dybwad, Christopher W.",Judge,Airport,090,(310) 725-3044,../../Courthouse/info/LAX
"Edber, Diego H.",Judge,Van Nuys - West,101,(818) 989-6801,../../Courthouse/info/LAV
"Edwards, Drew E.",Judge,Clara Shortridge Foltz Criminal Justice Center,127,(213) 628-7427,../../Courthouse/info/CCB
"Ellison, Laura ",Judge,Torrance and Annex,C,(310) 787-3732,../../Courthouse/info/SBA
"Elswick, Carol W.",Judge,Alhambra,W,(626) 293-2109,../../Courthouse/info/ALH
"Epstein, Mark H.",Judge,Stanley Mosk,081,(213) 830-0781,../../Courthouse/info/LA
"Escalante , Kristin S. ",Judge,Downey,003,(562) 803-7015,../../Courthouse/info/DOW
"Escobedo, Mildred ",Judge,Clara Shortridge Foltz Criminal Justice Center,126,(213) 628-7426,../../Courthouse/info/CCB
"Espinoza, Miguel ",Judge,Metropolitan,072,(213) 745-1872,../../Courthouse/info/MET
"Estes, Christopher ",Judge,Michael D. Antonovich Antelope Valley,A17, ,../../Courthouse/info/ATP
"Estrada, Alison M.",Judge,Clara Shortridge Foltz Criminal Justice Center,054,(213) 628-7754,../../Courthouse/info/CCB
"Fahey, William ",Judge,Stanley Mosk,069,(213) 633-1069,../../Courthouse/info/LA
"Falls, Thomas ",Judge,Pomona,R,(909) 802-1117,../../Courthouse/info/EA
"Feeney, Jill ",Judge,West Covina,008,(626) 430-2508,../../Courthouse/info/CIT
"Feffer, Elizabeth R.",Judge,Stanley Mosk,039,(213) 633-0159,../../Courthouse/info/LA
"Feldstern, Daniel ",Judge,San Fernando,E,(818) 256-1823,../../Courthouse/info/LAS
"Ferns, Edward A.",Judge,Spring Street,STL,(213) 310-7092,../../Courthouse/info/SS
"Ferrari, Gary J.",Judge,Governor George Deukmejian - Long Beach,S23,(562) 256-2207,../../Courthouse/info/LB
"Fidler, Larry Paul",Judge,Clara Shortridge Foltz Criminal Justice Center,106,(213) 628-7406,../../Courthouse/info/CCB
"Fields, David R.",Judge,Clara Shortridge Foltz Criminal Justice Center,032,(213) 628-7732,../../Courthouse/info/CCB
"Filer, Kelvin D.",Judge,Compton,C,(310) 761-4332,../../Courthouse/info/COM
"Flurer, Michele E.",Judge,Governor George Deukmejian - Long Beach,S10,(562) 256-2252,../../Courthouse/info/LB
"Ford, H. Jay ",Judge,Santa Monica,O,(310) 255-1866,../../Courthouse/info/SM
"Fournier, Lori Ann ",Judge,Norwalk,C,(562) 345-3702,../../Courthouse/info/SE
"Fox, Brad Miles",Commissioner,Torrance and Annex,007,(310) 787-3707,../../Courthouse/info/SBA
"Frank, Ronald F.",Judge,Inglewood,008,(310) 419-1308,../../Courthouse/info/ING
"Freeman, Kenneth R.",Judge,Spring Street,014,(213) 310-7014,../../Courthouse/info/SS
"Freixes, Graciela ",Judge,Chatsworth,F43,(818) 407-2243,../../Courthouse/info/CHA
"Frimpong, Maame E.",Judge,Metropolitan,071,(213) 745-1871,../../Courthouse/info/MET
"Frisco, Christopher J.",Judge,Governor George Deukmejian - Long Beach,S05,(562) 256-1430,../../Courthouse/info/LB
"Fruin, Richard L.",Judge,Stanley Mosk,015,(213) 633-0515,../../Courthouse/info/LA
"Fujie, Holly J.",Judge,Stanley Mosk,056,(213) 633-0656,../../Courthouse/info/LA
"Fujioka, Fred J.",Judge,Sylmar Juvenile,277,(818) 256-1077,../../Courthouse/info/SLJ
"Garcia, Michael ",Judge,Clara Shortridge Foltz Criminal Justice Center,129,(213) 628-7429,../../Courthouse/info/CCB
"Garcia, Ruben ",Judge,El Monte,004,(626) 401-2204,../../Courthouse/info/ELM
"Garcia Uhrig, Emily ",Judge,Van Nuys - East,H,(818) 901-4734,../../Courthouse/info/NW
"Garnett, Sherilyn ",Judge,San Fernando,A,(818) 256-1802,../../Courthouse/info/LAS
"Gasdia, Brian F.",Judge,Norwalk,R,(562) 345-3717,../../Courthouse/info/SE
"Gauff, Karen Ackerson ",Judge,Compton,003,(310) 761-4303,../../Courthouse/info/COM
"Gelfound, David B.",Judge,San Fernando,L,(818) 256-1805,../../Courthouse/info/LAS
"Gibbons, Danielle R.A.",Judge,Downey,004,(562) 803-7018,../../Courthouse/info/DOW
"Gilbertson, Rene C.",Judge,Torrance and Annex,002,(310) 787-3702,../../Courthouse/info/SBA
"Gladstein, Martin R.",Commissioner,Santa Clarita,001,(661) 253-5601,../../Courthouse/info/NEW
"Glennon, Bert ",Judge,Van Nuys - East,Y,(818) 901-4676,../../Courthouse/info/NW
"Gomez, Gus ",Judge,Glendale,005,(818) 265-6405,../../Courthouse/info/GLN
"Gomez, Danette  J.",Judge,Compton,006,(310) 761-4306,../../Courthouse/info/COM
"Goorvitch, Stephen I.",Judge,Spring Street,005,(213) 310-7005,../../Courthouse/info/SS
"Gordon, Scott M.",Judge,Stanley Mosk,088,(213) 830-0788,../../Courthouse/info/LA
"Goswami, Rupa S.",Judge,Alhambra,004,(626) 293-2104,../../Courthouse/info/ALH
"Goul, Richard M.",Judge,Governor George Deukmejian - Long Beach,S17,(562) 256-1490,../../Courthouse/info/LB
"Gould-Saltman, Dianna ",Judge,Central Civil West,307,(323) 351-7507,../../Courthouse/info/CCW
"Green, Terry ",Judge,Stanley Mosk,014,(213) 633-0514,../../Courthouse/info/LA
"Greenberg, Victor H.",Judge,Edmund D. Edelman Children's Court,400,(323) 307-8030,../../Courthouse/info/CCJ
"Griego, Thomas J.",Judge,Stanley Mosk,001A,(213) 633-0612,../../Courthouse/info/LA
"Groman, Donna Quigley ",Judge,Mental Health,095A,(323) 441-1893,../../Courthouse/info/MH
"Gross, Marc D.",Judge,Spring Street,003,(213) 310-7003,../../Courthouse/info/SS
"Guillemet, Kimberley Baker",Judge,Metropolitan,073,(213) 745-1873,../../Courthouse/info/MET
"Gullon, Christian R.",Judge,West Covina,007,(626) 430-2507,../../Courthouse/info/CIT
"Gutierrez, Hector E.",Judge,Compton,009,(310) 761-4309,../../Courthouse/info/COM
"Guzman, Hector M.",Judge,Torrance and Annex,F,(310) 787-3723,../../Courthouse/info/SBA
"Hadnot Prioleau, LaTonya ",Commissioner,Compton,TR,(310) 761-6800,../../Courthouse/info/COM
"Hahn, James K.",Judge,Santa Monica,A,(310) 255-1842,../../Courthouse/info/SM
"Hall, Henry J.",Judge,Clara Shortridge Foltz Criminal Justice Center,111,(213) 628-7411,../../Courthouse/info/CCB
"Hall, Tamara ",Judge,Airport,093,(310) 725-3047,../../Courthouse/info/LAX
"Hammock, Randolph M.",Judge,Stanley Mosk,047,(213) 633-0647,../../Courthouse/info/LA
"Hanasono, Mark ",Judge,Clara Shortridge Foltz Criminal Justice Center,056,(213) 628-7756,../../Courthouse/info/CCB
"Hansell, Dean ",Judge,Stanley Mosk,007,(213) 633-0507,../../Courthouse/info/LA
"Harkavy, Jeffrey M.",Commissioner,Santa Clarita,002,(661) 253-5602,../../Courthouse/info/NEW
"Harmon, Eric ",Judge,Van Nuys - West,122,(818) 989-6822,../../Courthouse/info/LAV
"Harris, H. Elizabeth ",Commissioner,Clara Shortridge Foltz Criminal Justice Center,047,(213) 628-7747,../../Courthouse/info/CCB
"Harrison, Robert S.",Judge,Mental Health,95C,(323) 441-1892,../../Courthouse/info/MH
"Harwin, Michael B.",Judge,Van Nuys - East,M,(818) 901-4616,../../Courthouse/info/NW
"Haynes, Marcelita V.",Judge,Governor George Deukmejian - Long Beach,S12,(562) 256-2243,../../Courthouse/info/LB
"Heeseman, Nicole M.",Judge,Governor George Deukmejian - Long Beach,S09,(562) 256-1450,../../Courthouse/info/LB
"Heidel, Sarah J.",Judge,Pomona,B,(909) 802-1112,../../Courthouse/info/EA
"Helton, Sabina A.",Judge,Edmund D. Edelman Children's Court,403,(323) 307-8003,../../Courthouse/info/CCJ
"Henry, Margaret S.",Judge,Edmund D. Edelman Children's Court,418,(323) 307-8018,../../Courthouse/info/CCJ
"Herin, Scott R.",Judge,Downey,007,(562) 803-7027,../../Courthouse/info/DOW
"Hernandez, Peter A.",Judge,Pomona,O,(909) 802-1126,../../Courthouse/info/EA
"Hernandez, Dennis F.",Commissioner,Central Civil West,002G,(213) 351-7504,../../Courthouse/info/CCW
"Herriford, David ",Judge,Clara Shortridge Foltz Criminal Justice Center,132,(213) 628-7432,../../Courthouse/info/CCB
"Herscovitz, Martin L.",Judge,Van Nuys - West,R,(818) 989-6817,../../Courthouse/info/LAV
"Highberger, William F.",Judge,Spring Street,010,(213) 310-7010,../../Courthouse/info/SS
"Hill, Christina L.",Judge,Eastlake Juvenile,203,(323) 227-4303,../../Courthouse/info/ELJ
"Hill, Deirdre ",Judge,Torrance and Annex,B,(310) 787-3722,../../Courthouse/info/SBA
"Hiroshige, Ernest M.",Judge,Stanley Mosk,054,(213) 633-0654,../../Courthouse/info/LA
"Hizami, David E.",Judge,Michael D. Antonovich Antelope Valley,A07, ,../../Courthouse/info/ATP
"Hobbs, Lynne M.",Judge,Clara Shortridge Foltz Criminal Justice Center,038,(213) 628-7738,../../Courthouse/info/CCB
"Hofer, Ralph C.",Judge,Glendale,D,(818) 265-6413,../../Courthouse/info/GLN
"Hogue, Amy D.",Judge,Spring Street,009,(213) 310-7009,../../Courthouse/info/SS
"Hollingsworth, Donna ",Judge,El Monte,003,(626) 401-2203,../../Courthouse/info/ELM
"Honeycutt, Alan B.",Judge,Torrance and Annex,L,(310) 787-3725,../../Courthouse/info/SBA
"Horan, James E.",Judge,Whittier ,301,(562) 968-2706,../../Courthouse/info/WHI
"Horn, H. Chester ",Judge,Santa Monica,I,(310) 255-1854,../../Courthouse/info/SM
"Hsu, Wesley L.",Judge,Pomona,D,(909) 802-1103,../../Courthouse/info/EA
"Hudson, Altus W.",Judge,Compton,012,(310) 761-4312,../../Courthouse/info/COM
"Hunter, Eleanor J.",Judge,Clara Shortridge Foltz Criminal Justice Center,113,(213) 628-7413,../../Courthouse/info/CCB
"Hymowitz, Laura ",Commissioner,Stanley Mosk,002C,(213) 633-0312,../../Courthouse/info/LA
"Ing, John H.",Judge,Governor George Deukmejian - Long Beach,S31,(562) 256-2247,../../Courthouse/info/LB
"Ipson , Steven  E. ",Commissioner,Alfred J. McCourtney Juvenile Justice Center,426,(661) 483-5926,../../Courthouse/info/LAN
"Ito, Roger ",Judge,Norwalk,H,(562) 345-3714,../../Courthouse/info/SE
"Iwasaki, Bruce G.",Judge,Central Civil West,308,(213) 351-7508,../../Courthouse/info/CCW
"Jacke II, H. Clay ",Judge,Compton,F,(310) 761-4313,../../Courthouse/info/COM
"Jaskol, Lisa R.",Judge,Metropolitan,065,(213) 745-1865,../../Courthouse/info/MET
"Jesic, Michael V.",Judge,Van Nuys - West,S,(818) 989-6827,../../Courthouse/info/LAV
"Jessner, Samantha P.",Judge,Stanley Mosk,001,(213) 633-0601,../../Courthouse/info/LA
"Johansen, Kjehl T.",Commissioner,Inglewood,007,(310) 419-1307,../../Courthouse/info/ING
"Johnson, Barbara R.",Judge,Stanley Mosk,011,(213) 633-0251,../../Courthouse/info/LA
"Jones, Ann I.",Judge,Spring Street,011,(213) 310-7011,../../Courthouse/info/SS
"Juarez, Daniel ",Judge,Stanley Mosk,067,(213) 633-1067,../../Courthouse/info/LA
"Juhas, Mark A.",Judge,Stanley Mosk,064,(213) 633-1064,../../Courthouse/info/LA
"Jurado, Ray G.",Judge,Clara Shortridge Foltz Criminal Justice Center,130,(213) 628-7430,../../Courthouse/info/CCB
"Kaddo, James A.",Judge,Van Nuys - East,I,(818) 901-4614,../../Courthouse/info/NW
"Kalra, Upinder S.",Judge,Airport,070,(310) 725-3096,../../Courthouse/info/LAX
"Karlan, Craig D.",Judge,Santa Monica,N,(310) 255-1856,../../Courthouse/info/SM
"Kaufman, Shelley ",Judge,Stanley Mosk,060,(213) 633-0660,../../Courthouse/info/LA
"Kawahara, Robert M.",Commissioner,Central Arraignment,081,(213) 617-5681,../../Courthouse/info/CAC
"Keeny, Virginia ",Judge,Van Nuys - East,W,(818) 901-4609,../../Courthouse/info/NW
"Kelley, Michael C.",Judge,Chatsworth,F44,(818) 407-2244,../../Courthouse/info/CHA
"Kelly, Mary E.",Judge,Edmund D. Edelman Children's Court,411,(323) 307-8011,../../Courthouse/info/CCJ
"Kemalyan, Richard S.",Judge,Clara Shortridge Foltz Criminal Justice Center,121,(213) 628-7421,../../Courthouse/info/CCB
"Kendig, Holly E.",Judge,Stanley Mosk,042,(213) 633-0162,../../Courthouse/info/LA
"Kennedy, Donald S.",Commissioner,Central Arraignment,082,(213) 617-5682,../../Courthouse/info/CAC
"Kennedy, Kathleen ",Judge,Clara Shortridge Foltz Criminal Justice Center,109,(213) 628-7409,../../Courthouse/info/CCB
"Keosian, Gregory ",Judge,Stanley Mosk,061,(213) 633-1061,../../Courthouse/info/LA
"Kerlin, Karla D.",Judge,Clara Shortridge Foltz Criminal Justice Center,044,(213) 680-7644,../../Courthouse/info/CCB
"Khan, Abraham ",Judge,Spring Street,STL,(213) 310-7092,../../Courthouse/info/SS
"Kim, Michelle C.",Judge,East Los Angeles,002,(323) 780-2003,../../Courthouse/info/ELA
"Kim, Andrew C.",Judge,Bellflower,002,(562) 345-3302,../../Courthouse/info/LC
"Kim, Mark C.",Judge,Governor George Deukmejian - Long Beach,S27,(562) 256-2227,../../Courthouse/info/LB
"Kin, Curtis A.",Judge,Pasadena,G,(626) 396-3304,../../Courthouse/info/PAS
"Kirschner, Richard H.",Judge,Van Nuys - West,G,(818) 989-6814,../../Courthouse/info/LAV
"Kleifield, Steven J.",Judge,Stanley Mosk,057,(213) 633-0657,../../Courthouse/info/LA
"Klein, Clifford ",Judge,Stanley Mosk,009,(213) 633-0259,../../Courthouse/info/LA
"Knight, Shannon ",Judge,Michael D. Antonovich Antelope Valley,A20, ,../../Courthouse/info/ATP
"Korn, Renee ",Judge,Clara Shortridge Foltz Criminal Justice Center,118,(213) 628-7418,../../Courthouse/info/CCB
"Kralik, John J.",Judge,Burbank,B,(818) 260-8422,../../Courthouse/info/BUR
"Kuhl, Carolyn B.",Judge,Spring Street,012,(213) 310-7012,../../Courthouse/info/SS
"Kumar, Sanjay T.",Judge,Stanley Mosk,070,(213) 633-1070,../../Courthouse/info/LA
"Kwan, Ruth Ann ",Judge,Stanley Mosk,072,(213) 830-0772,../../Courthouse/info/LA
"LaForteza, Bernie C.",Judge,Stanley Mosk,066,(213) 633-5866,../../Courthouse/info/LA
"Laesecke, Laura ",Judge,Governor George Deukmejian - Long Beach,S19,(562) 256-1502,../../Courthouse/info/LB
"Lager, Marvin ",Judge,Stanley Mosk,005,(213) 633-0245,../../Courthouse/info/LA
"Landin, Dennis J.",Judge,Stanley Mosk,051,(213) 633-0351,../../Courthouse/info/LA
